"GRID_CODE","CLC_CODE","LABEL1","LABEL2","LABEL3","RGB","colour"
0,0,"Missing","Missing","Missing",NA,NA
1,111,"Artificial surfaces","Urban fabric","Continuous urban fabric","230-000-077","#E6004D"
2,112,"Artificial surfaces","Urban fabric","Discontinuous urban fabric","255-000-000","#FF0000"
3,121,"Artificial surfaces","Industrial, commercial and transport units","Industrial or commercial units","204-077-242","#CC4DF2"
4,122,"Artificial surfaces","Industrial, commercial and transport units","Road and rail networks and associated land","204-000-000","#CC0000"
5,123,"Artificial surfaces","Industrial, commercial and transport units","Port areas","230-204-204","#E6CCCC"
6,124,"Artificial surfaces","Industrial, commercial and transport units","Airports","230-204-230","#E6CCE6"
7,131,"Artificial surfaces","Mine, dump and construction sites","Mineral extraction sites","166-000-204","#A600CC"
8,132,"Artificial surfaces","Mine, dump and construction sites","Dump sites","166-077-000","#A64D00"
9,133,"Artificial surfaces","Mine, dump and construction sites","Construction sites","255-077-255","#FF4DFF"
10,141,"Artificial surfaces","Artificial, non-agricultural vegetated areas","Green urban areas","255-166-255","#FFA6FF"
11,142,"Artificial surfaces","Artificial, non-agricultural vegetated areas","Sport and leisure facilities","255-230-255","#FFE6FF"
12,211,"Agricultural areas","Arable land","Non-irrigated arable land","255-255-168","#FFFFA8"
13,212,"Agricultural areas","Arable land","Permanently irrigated land","255-255-000","#FFFF00"
14,213,"Agricultural areas","Arable land","Rice fields","230-230-000","#E6E600"
15,221,"Agricultural areas","Permanent crops","Vineyards","230-128-000","#E68000"
16,222,"Agricultural areas","Permanent crops","Fruit trees and berry plantations","242-166-077","#F2A64D"
17,223,"Agricultural areas","Permanent crops","Olive groves","230-166-000","#E6A600"
18,231,"Agricultural areas","Pastures","Pastures","230-230-077","#E6E64D"
19,241,"Agricultural areas","Heterogeneous agricultural areas","Annual crops associated with permanent crops","255-230-166","#FFE6A6"
20,242,"Agricultural areas","Heterogeneous agricultural areas","Complex cultivation patterns","255-230-077","#FFE64D"
21,243,"Agricultural areas","Heterogeneous agricultural areas","Land principally occupied by agriculture, with significant areas of natural vegetation","230-204-077","#E6CC4D"
22,244,"Agricultural areas","Heterogeneous agricultural areas","Agro-forestry areas","242-204-166","#F2CCA6"
23,311,"Forest and semi natural areas","Forests","Broad-leaved forest","128-255-000","#80FF00"
24,312,"Forest and semi natural areas","Forests","Coniferous forest","000-166-000","#00A600"
25,313,"Forest and semi natural areas","Forests","Mixed forest","077-255-000","#4DFF00"
26,321,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Natural grasslands","204-242-077","#CCF24D"
27,322,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Moors and heathland","166-255-128","#A6FF80"
28,323,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Sclerophyllous vegetation","166-230-077","#A6E64D"
29,324,"Forest and semi natural areas","Scrub and/or herbaceous vegetation associations","Transitional woodland-shrub","166-242-000","#A6F200"
30,331,"Forest and semi natural areas","Open spaces with little or no vegetation","Beaches, dunes, sands","230-230-230","#E6E6E6"
31,332,"Forest and semi natural areas","Open spaces with little or no vegetation","Bare rocks","204-204-204","#CCCCCC"
32,333,"Forest and semi natural areas","Open spaces with little or no vegetation","Sparsely vegetated areas","204-255-204","#CCFFCC"
33,334,"Forest and semi natural areas","Open spaces with little or no vegetation","Burnt areas","000-000-000","#000000"
34,335,"Forest and semi natural areas","Open spaces with little or no vegetation","Glaciers and perpetual snow","166-230-204","#A6E6CC"
35,411,"Wetlands","Inland wetlands","Inland marshes","166-166-255","#A6A6FF"
36,412,"Wetlands","Inland wetlands","Peat bogs","077-077-255","#4D4DFF"
37,421,"Wetlands","Maritime wetlands","Salt marshes","204-204-255","#CCCCFF"
38,422,"Wetlands","Maritime wetlands","Salines","230-230-255","#E6E6FF"
39,423,"Wetlands","Maritime wetlands","Intertidal flats","166-166-230","#A6A6E6"
40,511,"Water bodies","Inland waters","Water courses","000-204-242","#00CCF2"
41,512,"Water bodies","Inland waters","Water bodies","128-242-230","#80F2E6"
42,521,"Water bodies","Marine waters","Coastal lagoons","000-255-166","#00FFA6"
43,522,"Water bodies","Marine waters","Estuaries","166-255-230","#A6FFE6"
44,523,"Water bodies","Marine waters","Sea and ocean","230-242-255","#E6F2FF"
48,999,"NODATA","NODATA","NODATA","000-000-000","#000000"
49,990,"UNCLASSIFIED","UNCLASSIFIED LAND SURFACE","UNCLASSIFIED LAND SURFACE","000-000-000","#000000"
50,995,"UNCLASSIFIED","UNCLASSIFIED WATER BODIES","UNCLASSIFIED WATER BODIES","230-242-255","#E6F2FF"
255,990,"UNCLASSIFIED","UNCLASSIFIED","UNCLASSIFIED","000-000-000","#000000"
